"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	1.019	1	3	1	3	"2;1"	"id_504"	100	4	3	0	0.75	1
2	1.007	1	6	1	9	"2;1"	"id_504"	100	4	3	0	0.75	1
3	0.64	1	2	1	11	"2;1"	"id_504"	100	4	3	0	0.75	1
4	0.808	2	1	1	12	"2;1"	"id_504"	100	4	3	0	0.75	1
5	0.616	2	7	1	19	"2;1"	"id_504"	100	4	3	0	0.75	1
6	0.788	1	3	1	22	"2;1"	"id_504"	100	4	3	0	0.75	1
7	0.972	2	3	1	25	"2;1"	"id_504"	100	4	3	0	0.75	1
8	0.521	1	5	1	30	"2;1"	"id_504"	100	4	3	0	0.75	1
9	0.51	2	6	1	36	"2;1"	"id_504"	100	4	3	0	0.75	1
10	1.682	1	4	1	40	"2;1"	"id_504"	100	4	3	0	0.75	1
11	0.719	2	3	1	43	"2;1"	"id_504"	100	4	3	0	0.75	1
12	0.617	1	4	1	47	"2;1"	"id_504"	100	4	3	0	0.75	1
13	0.575	2	4	1	51	"2;1"	"id_504"	100	4	3	0	0.75	1
14	0.744	1	5	1	56	"2;1"	"id_504"	100	4	3	0	0.75	1
15	0.752	2	5	1	61	"2;1"	"id_504"	100	4	3	0	0.75	1
16	0.849	1	8	1	69	"2;1"	"id_504"	100	4	3	0	0.75	1
17	0.991	2	5	1	74	"2;1"	"id_504"	100	4	3	0	0.75	1
18	0.784	1	5	1	79	"2;1"	"id_504"	100	4	3	0	0.75	1
19	0.76	2	6	1	85	"2;1"	"id_504"	100	4	3	0	0.75	1
20	0.952	1	6	1	91	"2;1"	"id_504"	100	4	3	0	0.75	1
21	0.824	2	5	1	96	"2;1"	"id_504"	100	4	3	0	0.75	1
22	1.016	1	2	1	98	"2;1"	"id_504"	100	4	3	0	0.75	1
23	1.24	2	-1	1	97	"2;1"	"id_504"	100	4	3	0	0.75	1
24	2.057	1	3	1	100	"2;1"	"id_504"	100	4	3	0	0.75	1
25	2.823	1	6	1	106	"2;1"	"id_504"	100	4	3	0	0.75	1
1	1.081	1	3	2	3	"2;1"	"id_504"	100	4	3	0	0.75	1
2	2.464	1	-12	2	-9	"2;1"	"id_504"	100	4	3	0	0.75	1
3	3.16	1	6	2	-3	"2;1"	"id_504"	100	4	3	0	0.75	1
4	1.49	1	-8	2	-11	"2;1"	"id_504"	100	4	3	0	0.75	1
5	1.526	2	8	2	-3	"2;1"	"id_504"	100	4	3	0	0.75	1
6	1.042	2	7	2	4	"2;1"	"id_504"	100	4	3	0	0.75	1
7	0.606	2	7	2	11	"2;1"	"id_504"	100	4	3	0	0.75	1
8	0.68	2	2	2	13	"2;1"	"id_504"	100	4	3	0	0.75	1
9	0.576	2	5	2	18	"2;1"	"id_504"	100	4	3	0	0.75	1
10	0.568	2	6	2	24	"2;1"	"id_504"	100	4	3	0	0.75	1
11	0.512	2	0	2	24	"2;1"	"id_504"	100	4	3	0	0.75	1
12	1.161	2	3	2	27	"2;1"	"id_504"	100	4	3	0	0.75	1
13	1.951	2	4	2	31	"2;1"	"id_504"	100	4	3	0	0.75	1
14	0.608	2	4	2	35	"2;1"	"id_504"	100	4	3	0	0.75	1
15	0.759	2	4	2	39	"2;1"	"id_504"	100	4	3	0	0.75	1
16	0.905	2	2	2	41	"2;1"	"id_504"	100	4	3	0	0.75	1
17	2.128	2	4	2	45	"2;1"	"id_504"	100	4	3	0	0.75	1
18	0.928	2	2	2	47	"2;1"	"id_504"	100	4	3	0	0.75	1
19	0.704	2	6	2	53	"2;1"	"id_504"	100	4	3	0	0.75	1
20	0.584	2	3	2	56	"2;1"	"id_504"	100	4	3	0	0.75	1
21	0.632	2	5	2	61	"2;1"	"id_504"	100	4	3	0	0.75	1
22	0.562	2	4	2	65	"2;1"	"id_504"	100	4	3	0	0.75	1
23	0.582	2	5	2	70	"2;1"	"id_504"	100	4	3	0	0.75	1
24	0.736	2	2	2	72	"2;1"	"id_504"	100	4	3	0	0.75	1
25	1.599	2	7	2	79	"2;1"	"id_504"	100	4	3	0	0.75	1
1	1.151	1	4	3	4	"1;2"	"id_504"	100	4	3	0	0.75	1
2	1.473	2	17	3	21	"1;2"	"id_504"	100	4	3	0	0.75	1
3	1.832	1	2	3	23	"1;2"	"id_504"	100	4	3	0	0.75	1
4	0.96	2	11	3	34	"1;2"	"id_504"	100	4	3	0	0.75	1
5	0.848	2	5	3	39	"1;2"	"id_504"	100	4	3	0	0.75	1
6	1.248	1	5	3	44	"1;2"	"id_504"	100	4	3	0	0.75	1
7	1.024	2	-7	3	37	"1;2"	"id_504"	100	4	3	0	0.75	1
8	1.368	1	3	3	40	"1;2"	"id_504"	100	4	3	0	0.75	1
9	1.04	1	5	3	45	"1;2"	"id_504"	100	4	3	0	0.75	1
10	0.808	1	7	3	52	"1;2"	"id_504"	100	4	3	0	0.75	1
11	2.327	1	6	3	58	"1;2"	"id_504"	100	4	3	0	0.75	1
12	1.297	1	3	3	61	"1;2"	"id_504"	100	4	3	0	0.75	1
13	0.944	1	3	3	64	"1;2"	"id_504"	100	4	3	0	0.75	1
14	1.464	1	4	3	68	"1;2"	"id_504"	100	4	3	0	0.75	1
15	1.368	1	4	3	72	"1;2"	"id_504"	100	4	3	0	0.75	1
16	1.32	2	-13	3	59	"1;2"	"id_504"	100	4	3	0	0.75	1
17	1.24	1	2	3	61	"1;2"	"id_504"	100	4	3	0	0.75	1
18	0.92	1	1	3	62	"1;2"	"id_504"	100	4	3	0	0.75	1
19	1.136	2	2	3	64	"1;2"	"id_504"	100	4	3	0	0.75	1
20	2.632	2	4	3	68	"1;2"	"id_504"	100	4	3	0	0.75	1
21	2.36	2	5	3	73	"1;2"	"id_504"	100	4	3	0	0.75	1
22	2.431	2	12	3	85	"1;2"	"id_504"	100	4	3	0	0.75	1
23	1.897	2	-10	3	75	"1;2"	"id_504"	100	4	3	0	0.75	1
24	1.152	2	11	3	86	"1;2"	"id_504"	100	4	3	0	0.75	1
25	2.408	2	12	3	98	"1;2"	"id_504"	100	4	3	0	0.75	1
1	1.926	2	8	4	8	"2;1"	"id_504"	100	4	3	0	0.75	1
2	1.16	2	1	4	9	"2;1"	"id_504"	100	4	3	0	0.75	1
3	1.928	2	7	4	16	"2;1"	"id_504"	100	4	3	0	0.75	1
