"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	1.094	1	3	1	3	"1;2"	"id_528"	100	5	7	0	1.75	2
2	0.561	1	1	1	4	"1;2"	"id_528"	100	5	7	0	1.75	2
3	0.999	1	5	1	9	"1;2"	"id_528"	100	5	7	0	1.75	2
4	0.857	1	2	1	11	"1;2"	"id_528"	100	5	7	0	1.75	2
5	0.648	1	1	1	12	"1;2"	"id_528"	100	5	7	0	1.75	2
6	0.752	1	4	1	16	"1;2"	"id_528"	100	5	7	0	1.75	2
7	0.618	1	5	1	21	"1;2"	"id_528"	100	5	7	0	1.75	2
8	0.731	1	5	1	26	"1;2"	"id_528"	100	5	7	0	1.75	2
9	0.659	1	5	1	31	"1;2"	"id_528"	100	5	7	0	1.75	2
10	0.594	1	6	1	37	"1;2"	"id_528"	100	5	7	0	1.75	2
11	0.61	1	2	1	39	"1;2"	"id_528"	100	5	7	0	1.75	2
12	0.556	1	4	1	43	"1;2"	"id_528"	100	5	7	0	1.75	2
13	1.065	1	2	1	45	"1;2"	"id_528"	100	5	7	0	1.75	2
14	1.025	1	4	1	49	"1;2"	"id_528"	100	5	7	0	1.75	2
15	0.618	1	1	1	50	"1;2"	"id_528"	100	5	7	0	1.75	2
16	0.594	1	2	1	52	"1;2"	"id_528"	100	5	7	0	1.75	2
17	0.646	1	6	1	58	"1;2"	"id_528"	100	5	7	0	1.75	2
18	0.61	1	3	1	61	"1;2"	"id_528"	100	5	7	0	1.75	2
19	0.683	1	0	1	61	"1;2"	"id_528"	100	5	7	0	1.75	2
20	0.724	1	5	1	66	"1;2"	"id_528"	100	5	7	0	1.75	2
21	0.812	1	5	1	71	"1;2"	"id_528"	100	5	7	0	1.75	2
22	0.781	1	0	1	71	"1;2"	"id_528"	100	5	7	0	1.75	2
23	0.777	1	6	1	77	"1;2"	"id_528"	100	5	7	0	1.75	2
24	0.76	1	5	1	82	"1;2"	"id_528"	100	5	7	0	1.75	2
25	0.69	1	1	1	83	"1;2"	"id_528"	100	5	7	0	1.75	2
1	1.155	1	-23	2	-23	"2;1"	"id_528"	100	5	7	0	1.75	2
2	1.464	1	4	2	-19	"2;1"	"id_528"	100	5	7	0	1.75	2
3	0.91	1	6	2	-13	"2;1"	"id_528"	100	5	7	0	1.75	2
4	0.7	1	-12	2	-25	"2;1"	"id_528"	100	5	7	0	1.75	2
5	1.102	1	-1	2	-26	"2;1"	"id_528"	100	5	7	0	1.75	2
6	1.073	1	-11	2	-37	"2;1"	"id_528"	100	5	7	0	1.75	2
7	1.082	1	3	2	-34	"2;1"	"id_528"	100	5	7	0	1.75	2
8	0.976	1	12	2	-22	"2;1"	"id_528"	100	5	7	0	1.75	2
9	0.784	1	9	2	-13	"2;1"	"id_528"	100	5	7	0	1.75	2
10	1.06	1	14	2	1	"2;1"	"id_528"	100	5	7	0	1.75	2
11	1.396	1	-7	2	-6	"2;1"	"id_528"	100	5	7	0	1.75	2
12	1.19	1	1	2	-5	"2;1"	"id_528"	100	5	7	0	1.75	2
13	0.956	1	15	2	10	"2;1"	"id_528"	100	5	7	0	1.75	2
14	0.731	1	-1	2	9	"2;1"	"id_528"	100	5	7	0	1.75	2
15	0.834	1	4	2	13	"2;1"	"id_528"	100	5	7	0	1.75	2
16	0.814	1	22	2	35	"2;1"	"id_528"	100	5	7	0	1.75	2
17	1.077	1	5	2	40	"2;1"	"id_528"	100	5	7	0	1.75	2
18	0.911	1	5	2	45	"2;1"	"id_528"	100	5	7	0	1.75	2
19	0.723	1	0	2	45	"2;1"	"id_528"	100	5	7	0	1.75	2
20	0.553	1	19	2	64	"2;1"	"id_528"	100	5	7	0	1.75	2
21	0.727	1	-7	2	57	"2;1"	"id_528"	100	5	7	0	1.75	2
22	1.098	1	-11	2	46	"2;1"	"id_528"	100	5	7	0	1.75	2
23	0.863	1	18	2	64	"2;1"	"id_528"	100	5	7	0	1.75	2
24	0.979	1	-8	2	56	"2;1"	"id_528"	100	5	7	0	1.75	2
25	0.997	1	-1	2	55	"2;1"	"id_528"	100	5	7	0	1.75	2
1	0.984	1	3	3	3	"1;2"	"id_528"	100	5	7	0	1.75	2
2	0.598	1	3	3	6	"1;2"	"id_528"	100	5	7	0	1.75	2
3	0.564	1	4	3	10	"1;2"	"id_528"	100	5	7	0	1.75	2
4	0.774	1	7	3	17	"1;2"	"id_528"	100	5	7	0	1.75	2
5	0.715	1	1	3	18	"1;2"	"id_528"	100	5	7	0	1.75	2
6	0.664	1	3	3	21	"1;2"	"id_528"	100	5	7	0	1.75	2
7	0.662	1	5	3	26	"1;2"	"id_528"	100	5	7	0	1.75	2
8	0.678	1	7	3	33	"1;2"	"id_528"	100	5	7	0	1.75	2
9	0.704	1	5	3	38	"1;2"	"id_528"	100	5	7	0	1.75	2
10	0.749	1	2	3	40	"1;2"	"id_528"	100	5	7	0	1.75	2
11	0.683	1	5	3	45	"1;2"	"id_528"	100	5	7	0	1.75	2
12	0.751	1	6	3	51	"1;2"	"id_528"	100	5	7	0	1.75	2
13	0.692	1	5	3	56	"1;2"	"id_528"	100	5	7	0	1.75	2
14	0.715	1	4	3	60	"1;2"	"id_528"	100	5	7	0	1.75	2
15	0.749	1	7	3	67	"1;2"	"id_528"	100	5	7	0	1.75	2
