"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	0.856478996719266	2	1	1	1	"2;1"	"id_256"	0	3	NA	1	0.68	1
2	0.863162977677825	2	2	1	3	"2;1"	"id_256"	0	3	NA	1	0.68	1
3	0.5	2	4	1	7	"2;1"	"id_256"	0	3	NA	1	0.68	1
4	1.02499938740291	2	2	1	9	"2;1"	"id_256"	0	3	NA	1	0.68	1
5	0.862554534247123	2	4	1	13	"2;1"	"id_256"	0	3	NA	1	0.68	1
6	0.762327892406955	2	1	1	14	"2;1"	"id_256"	0	3	NA	1	0.68	1
7	0.5	1	6	1	20	"2;1"	"id_256"	0	3	NA	1	0.68	1
8	0.564061180772649	2	5	1	25	"2;1"	"id_256"	0	3	NA	1	0.68	1
9	0.5	2	5	1	30	"2;1"	"id_256"	0	3	NA	1	0.68	1
10	0.5	2	5	1	35	"2;1"	"id_256"	0	3	NA	1	0.68	1
11	1.04504055957063	2	3	1	38	"2;1"	"id_256"	0	3	NA	1	0.68	1
12	1.12880038626178	2	4	1	42	"2;1"	"id_256"	0	3	NA	1	0.68	1
13	0.746020885684441	2	1	1	43	"2;1"	"id_256"	0	3	NA	1	0.68	1
14	0.91238113230398	2	6	1	49	"2;1"	"id_256"	0	3	NA	1	0.68	1
15	0.5	2	4	1	53	"2;1"	"id_256"	0	3	NA	1	0.68	1
16	0.5	1	5	1	58	"2;1"	"id_256"	0	3	NA	1	0.68	1
17	0.650581427057549	2	2	1	60	"2;1"	"id_256"	0	3	NA	1	0.68	1
18	1.04869674049024	2	3	1	63	"2;1"	"id_256"	0	3	NA	1	0.68	1
19	0.880495126557309	2	4	1	67	"2;1"	"id_256"	0	3	NA	1	0.68	1
20	0.672738843729665	2	5	1	72	"2;1"	"id_256"	0	3	NA	1	0.68	1
1	0.581975157620147	2	7	2	7	"1;2"	"id_256"	0	3	NA	1	0.68	1
2	0.5	2	2	2	9	"1;2"	"id_256"	0	3	NA	1	0.68	1
3	0.50428736585679	2	-5	2	4	"1;2"	"id_256"	0	3	NA	1	0.68	1
4	0.5	1	0	2	4	"1;2"	"id_256"	0	3	NA	1	0.68	1
5	0.580343908453009	1	1	2	5	"1;2"	"id_256"	0	3	NA	1	0.68	1
6	0.900639329890127	1	8	2	13	"1;2"	"id_256"	0	3	NA	1	0.68	1
7	1.02985727782439	1	3	2	16	"1;2"	"id_256"	0	3	NA	1	0.68	1
8	0.685503099622086	1	0	2	16	"1;2"	"id_256"	0	3	NA	1	0.68	1
9	0.668711239738928	1	2	2	18	"1;2"	"id_256"	0	3	NA	1	0.68	1
10	0.722813828237854	1	0	2	18	"1;2"	"id_256"	0	3	NA	1	0.68	1
11	0.5	2	23	2	41	"1;2"	"id_256"	0	3	NA	1	0.68	1
12	1.02624391628407	2	9	2	50	"1;2"	"id_256"	0	3	NA	1	0.68	1
13	0.809540042611199	2	7	2	57	"1;2"	"id_256"	0	3	NA	1	0.68	1
14	0.689281070489952	2	-7	2	50	"1;2"	"id_256"	0	3	NA	1	0.68	1
15	0.631350516575101	2	-5	2	45	"1;2"	"id_256"	0	3	NA	1	0.68	1
16	0.963180210353268	2	-7	2	38	"1;2"	"id_256"	0	3	NA	1	0.68	1
17	0.718591138638472	1	0	2	38	"1;2"	"id_256"	0	3	NA	1	0.68	1
18	0.848864396397182	1	0	2	38	"1;2"	"id_256"	0	3	NA	1	0.68	1
19	0.962167536894775	1	1	2	39	"1;2"	"id_256"	0	3	NA	1	0.68	1
20	0.890386725397276	2	2	2	41	"1;2"	"id_256"	0	3	NA	1	0.68	1
21	1.15274158072808	1	3	2	44	"1;2"	"id_256"	0	3	NA	1	0.68	1
22	1.03478799079047	1	1	2	45	"1;2"	"id_256"	0	3	NA	1	0.68	1
23	0.988496664181582	1	5	2	50	"1;2"	"id_256"	0	3	NA	1	0.68	1
24	1.12521055222553	1	4	2	54	"1;2"	"id_256"	0	3	NA	1	0.68	1
25	0.870239977718499	1	0	2	54	"1;2"	"id_256"	0	3	NA	1	0.68	1
1	0.547696163647484	1	6	3	6	"1;2"	"id_256"	0	3	NA	1	0.68	1
2	0.776670922343562	1	4	3	10	"1;2"	"id_256"	0	3	NA	1	0.68	1
3	0.6350500433885	1	3	3	13	"1;2"	"id_256"	0	3	NA	1	0.68	1
4	1.43166146838875	1	1	3	14	"1;2"	"id_256"	0	3	NA	1	0.68	1
5	0.904423757665798	1	1	3	15	"1;2"	"id_256"	0	3	NA	1	0.68	1
6	1.05182349507933	1	3	3	18	"1;2"	"id_256"	0	3	NA	1	0.68	1
7	0.801814423319448	1	3	3	21	"1;2"	"id_256"	0	3	NA	1	0.68	1
8	1.05998486952219	1	6	3	27	"1;2"	"id_256"	0	3	NA	1	0.68	1
9	0.626894860715849	1	1	3	28	"1;2"	"id_256"	0	3	NA	1	0.68	1
10	0.664715895322832	1	3	3	31	"1;2"	"id_256"	0	3	NA	1	0.68	1
11	0.910922315854968	1	-4	3	27	"1;2"	"id_256"	0	3	NA	1	0.68	1
12	0.606557349748481	1	4	3	31	"1;2"	"id_256"	0	3	NA	1	0.68	1
13	0.657986499648045	1	0	3	31	"1;2"	"id_256"	0	3	NA	1	0.68	1
14	0.943126348184787	1	1	3	32	"1;2"	"id_256"	0	3	NA	1	0.68	1
15	1.27259222619038	1	-1	3	31	"1;2"	"id_256"	0	3	NA	1	0.68	1
16	0.889665660867574	1	8	3	39	"1;2"	"id_256"	0	3	NA	1	0.68	1
17	0.64423665058897	1	2	3	41	"1;2"	"id_256"	0	3	NA	1	0.68	1
18	0.990244000126551	1	2	3	43	"1;2"	"id_256"	0	3	NA	1	0.68	1
19	0.710964401673438	1	3	3	46	"1;2"	"id_256"	0	3	NA	1	0.68	1
20	0.706759997125728	1	0	3	46	"1;2"	"id_256"	0	3	NA	1	0.68	1
21	0.526946814722164	1	3	3	49	"1;2"	"id_256"	0	3	NA	1	0.68	1
