"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"
1	0	1	4	1	4	"1;3;2"	"id_005"	135	3
2	1.119	2	5	1	9	"1;3;2"	"id_005"	135	3
3	8.115	3	2	1	11	"1;3;2"	"id_005"	135	3
4	3.725	3	3	1	14	"1;3;2"	"id_005"	135	3
5	3.357	2	2	1	16	"1;3;2"	"id_005"	135	3
6	3.366	1	1	1	17	"1;3;2"	"id_005"	135	3
7	3.314	1	6	1	23	"1;3;2"	"id_005"	135	3
8	3.844	1	3	1	26	"1;3;2"	"id_005"	135	3
9	2.756	1	1	1	27	"1;3;2"	"id_005"	135	3
10	2.64	1	1	1	28	"1;3;2"	"id_005"	135	3
11	2.439	1	4	1	32	"1;3;2"	"id_005"	135	3
12	2.52	1	1	1	33	"1;3;2"	"id_005"	135	3
13	2.527	1	4	1	37	"1;3;2"	"id_005"	135	3
14	2.551	2	7	1	44	"1;3;2"	"id_005"	135	3
15	1.638	1	1	1	45	"1;3;2"	"id_005"	135	3
16	2.252	1	3	1	48	"1;3;2"	"id_005"	135	3
17	3.231	1	2	1	50	"1;3;2"	"id_005"	135	3
18	1.237	1	0	1	50	"1;3;2"	"id_005"	135	3
19	0.8	1	0	1	50	"1;3;2"	"id_005"	135	3
20	1.167	1	3	1	53	"1;3;2"	"id_005"	135	3
0	-292.682	0	0	2	0	"1;3;2"	"id_005"	135	3
1	312.756	1	-9	2	-9	"3;2;1"	"id_005"	135	3
2	2.805	1	7	2	-2	"3;2;1"	"id_005"	135	3
3	2.439	1	2	2	0	"3;2;1"	"id_005"	135	3
4	2.492	1	7	2	7	"3;2;1"	"id_005"	135	3
5	2.549	1	4	2	11	"3;2;1"	"id_005"	135	3
6	2.484	1	3	2	14	"3;2;1"	"id_005"	135	3
7	2.558	1	4	2	18	"3;2;1"	"id_005"	135	3
8	2.554	1	-1	2	17	"3;2;1"	"id_005"	135	3
9	1.123	1	0	2	17	"3;2;1"	"id_005"	135	3
10	0.888	1	14	2	31	"3;2;1"	"id_005"	135	3
11	0.201	1	1	2	32	"3;2;1"	"id_005"	135	3
12	2.036	1	-6	2	26	"3;2;1"	"id_005"	135	3
13	0.843	1	10	2	36	"3;2;1"	"id_005"	135	3
14	0.203	1	3	2	39	"3;2;1"	"id_005"	135	3
15	0.711	1	10	2	49	"3;2;1"	"id_005"	135	3
16	0.196	1	-10	2	39	"3;2;1"	"id_005"	135	3
17	0.196	1	-3	2	36	"3;2;1"	"id_005"	135	3
18	0.486	1	7	2	43	"3;2;1"	"id_005"	135	3
19	0.199	1	1	2	44	"3;2;1"	"id_005"	135	3
20	0.802	1	2	2	46	"3;2;1"	"id_005"	135	3
21	0.234	1	-1	2	45	"3;2;1"	"id_005"	135	3
22	0.232	1	5	2	50	"3;2;1"	"id_005"	135	3
23	0.531	1	-2	2	48	"3;2;1"	"id_005"	135	3
24	0.192	1	3	2	51	"3;2;1"	"id_005"	135	3
25	0.194	1	9	2	60	"3;2;1"	"id_005"	135	3
26	0.202	1	3	2	63	"3;2;1"	"id_005"	135	3
27	0.297	1	0	2	63	"3;2;1"	"id_005"	135	3
28	0.145	1	6	2	69	"3;2;1"	"id_005"	135	3
29	0.159	1	-6	2	63	"3;2;1"	"id_005"	135	3
30	0.144	1	-5	2	58	"3;2;1"	"id_005"	135	3
31	0.148	1	6	2	64	"3;2;1"	"id_005"	135	3
32	0.438	1	8	2	72	"3;2;1"	"id_005"	135	3
