"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"
1	0	1	3	1	3	"1;2;3"	"id_030"	0	1
2	2.658	3	6	1	9	"1;2;3"	"id_030"	0	1
3	0.453	2	2	1	11	"1;2;3"	"id_030"	0	1
4	1.468	1	3	1	14	"1;2;3"	"id_030"	0	1
5	3.803	2	4	1	18	"1;2;3"	"id_030"	0	1
6	0.625	3	5	1	23	"1;2;3"	"id_030"	0	1
7	0.824	1	0	1	23	"1;2;3"	"id_030"	0	1
8	0.764	2	3	1	26	"1;2;3"	"id_030"	0	1
9	0.636	3	1	1	27	"1;2;3"	"id_030"	0	1
10	0.799	1	2	1	29	"1;2;3"	"id_030"	0	1
11	1.167	3	2	1	31	"1;2;3"	"id_030"	0	1
12	1.141	2	2	1	33	"1;2;3"	"id_030"	0	1
13	1.964	1	4	1	37	"1;2;3"	"id_030"	0	1
14	1.286	3	2	1	39	"1;2;3"	"id_030"	0	1
15	1.123	2	2	1	41	"1;2;3"	"id_030"	0	1
16	1.257	1	5	1	46	"1;2;3"	"id_030"	0	1
17	1.346	2	2	1	48	"1;2;3"	"id_030"	0	1
18	6.68	3	-1	1	47	"1;2;3"	"id_030"	0	1
19	0.197	1	3	1	50	"1;2;3"	"id_030"	0	1
20	0.112	1	2	1	52	"1;2;3"	"id_030"	0	1
0	-90.339	0	0	2	0	"1;2;3"	"id_030"	0	1
1	104.242	2	-2	2	-2	"2;3;1"	"id_030"	0	1
2	1.545	3	3	2	1	"2;3;1"	"id_030"	0	1
3	1.52	1	1	2	2	"2;3;1"	"id_030"	0	1
4	1.628	3	6	2	8	"2;3;1"	"id_030"	0	1
5	1.68	1	4	2	12	"2;3;1"	"id_030"	0	1
6	1.74	2	-5	2	7	"2;3;1"	"id_030"	0	1
7	1.387	3	2	2	9	"2;3;1"	"id_030"	0	1
8	2.493	1	1	2	10	"2;3;1"	"id_030"	0	1
9	1.324	3	5	2	15	"2;3;1"	"id_030"	0	1
10	3.583	1	4	2	19	"2;3;1"	"id_030"	0	1
11	1.493	3	5	2	24	"2;3;1"	"id_030"	0	1
12	1.501	1	7	2	31	"2;3;1"	"id_030"	0	1
13	3.627	3	0	2	31	"2;3;1"	"id_030"	0	1
14	0.201	3	3	2	34	"2;3;1"	"id_030"	0	1
15	1.766	1	3	2	37	"2;3;1"	"id_030"	0	1
16	1.456	3	5	2	42	"2;3;1"	"id_030"	0	1
17	1.538	1	5	2	47	"2;3;1"	"id_030"	0	1
18	1.453	3	1	2	48	"2;3;1"	"id_030"	0	1
19	1.324	1	3	2	51	"2;3;1"	"id_030"	0	1
20	0.929	3	3	2	54	"2;3;1"	"id_030"	0	1
21	1.183	1	2	2	56	"2;3;1"	"id_030"	0	1
22	1.294	3	0	2	56	"2;3;1"	"id_030"	0	1
23	1.342	1	0	2	56	"2;3;1"	"id_030"	0	1
24	1.019	1	3	2	59	"2;3;1"	"id_030"	0	1
25	0.776	3	1	2	60	"2;3;1"	"id_030"	0	1
26	1.381	1	1	2	61	"2;3;1"	"id_030"	0	1
27	1.132	3	4	2	65	"2;3;1"	"id_030"	0	1
28	1.176	1	-1	2	64	"2;3;1"	"id_030"	0	1
29	1.374	3	4	2	68	"2;3;1"	"id_030"	0	1
30	0.647	2	19	2	87	"2;3;1"	"id_030"	0	1
31	0.163	2	-9	2	78	"2;3;1"	"id_030"	0	1
32	1.872	3	4	2	82	"2;3;1"	"id_030"	0	1
33	1.579	1	1	2	83	"2;3;1"	"id_030"	0	1
34	1.492	3	5	2	88	"2;3;1"	"id_030"	0	1
35	1.382	1	0	2	88	"2;3;1"	"id_030"	0	1
36	6.698	3	7	2	95	"2;3;1"	"id_030"	0	1
37	0.095	2	-2	2	93	"2;3;1"	"id_030"	0	1
38	0.095	3	5	2	98	"2;3;1"	"id_030"	0	1
39	0.098	3	1	2	99	"2;3;1"	"id_030"	0	1
40	2.666	1	3	2	102	"2;3;1"	"id_030"	0	1
41	1.324	3	3	2	105	"2;3;1"	"id_030"	0	1
42	1.379	1	-3	2	102	"2;3;1"	"id_030"	0	1
43	1.272	3	5	2	107	"2;3;1"	"id_030"	0	1
44	0.776	2	-1	2	106	"2;3;1"	"id_030"	0	1
45	1.26	1	5	2	111	"2;3;1"	"id_030"	0	1
46	1.304	3	5	2	116	"2;3;1"	"id_030"	0	1
47	1.555	1	3	2	119	"2;3;1"	"id_030"	0	1
48	1.262	3	2	2	121	"2;3;1"	"id_030"	0	1
49	0.243	3	2	2	123	"2;3;1"	"id_030"	0	1
50	1.965	1	3	2	126	"2;3;1"	"id_030"	0	1
0	-176.234	0	0	3	0	"2;3;1"	"id_030"	0	1
1	184.477	1	5	3	5	"3;1;2"	"id_030"	0	1
2	1.4	3	2	3	7	"3;1;2"	"id_030"	0	1
3	1.385	1	-7	3	0	"3;1;2"	"id_030"	0	1
4	1.29	3	-1	3	-1	"3;1;2"	"id_030"	0	1
5	2.2	2	3	3	2	"3;1;2"	"id_030"	0	1
6	0.242	2	3	3	5	"3;1;2"	"id_030"	0	1
7	1.031	1	1	3	6	"3;1;2"	"id_030"	0	1
8	1.233	3	0	3	6	"3;1;2"	"id_030"	0	1
