"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"
1	0	1	7	1	7	"2;1;3"	"id_010"	135	3
2	0.922	2	4	1	11	"2;1;3"	"id_010"	135	3
3	1.091	3	2	1	13	"2;1;3"	"id_010"	135	3
4	1.25	1	6	1	19	"2;1;3"	"id_010"	135	3
5	1.035	2	1	1	20	"2;1;3"	"id_010"	135	3
6	1.273	3	2	1	22	"2;1;3"	"id_010"	135	3
7	10.458	1	4	1	26	"2;1;3"	"id_010"	135	3
8	0.923	1	2	1	28	"2;1;3"	"id_010"	135	3
9	1.267	1	1	1	29	"2;1;3"	"id_010"	135	3
10	0.977	1	0	1	29	"2;1;3"	"id_010"	135	3
11	1.005	1	4	1	33	"2;1;3"	"id_010"	135	3
12	1.709	1	2	1	35	"2;1;3"	"id_010"	135	3
13	1.528	1	1	1	36	"2;1;3"	"id_010"	135	3
14	1.101	1	2	1	38	"2;1;3"	"id_010"	135	3
15	0.243	1	0	1	38	"2;1;3"	"id_010"	135	3
16	0.259	1	3	1	41	"2;1;3"	"id_010"	135	3
17	0.474	1	3	1	44	"2;1;3"	"id_010"	135	3
18	0.237	1	3	1	47	"2;1;3"	"id_010"	135	3
19	0.23	1	1	1	48	"2;1;3"	"id_010"	135	3
20	0.238	1	3	1	51	"2;1;3"	"id_010"	135	3
0	-191.984	0	0	2	0	"2;1;3"	"id_010"	135	3
1	204.939	2	6	2	6	"2;1;3"	"id_010"	135	3
2	1.608	3	-3	2	3	"2;1;3"	"id_010"	135	3
3	1.581	1	2	2	5	"2;1;3"	"id_010"	135	3
4	1.975	2	2	2	7	"2;1;3"	"id_010"	135	3
5	1.059	2	4	2	11	"2;1;3"	"id_010"	135	3
6	1.082	2	3	2	14	"2;1;3"	"id_010"	135	3
7	1.042	2	7	2	21	"2;1;3"	"id_010"	135	3
8	1.121	2	5	2	26	"2;1;3"	"id_010"	135	3
9	0.863	2	3	2	29	"2;1;3"	"id_010"	135	3
10	1.078	2	6	2	35	"2;1;3"	"id_010"	135	3
11	1.218	2	5	2	40	"2;1;3"	"id_010"	135	3
12	1.085	2	6	2	46	"2;1;3"	"id_010"	135	3
13	0.894	2	2	2	48	"2;1;3"	"id_010"	135	3
14	1.115	2	0	2	48	"2;1;3"	"id_010"	135	3
15	1.654	2	1	2	49	"2;1;3"	"id_010"	135	3
16	1.145	2	2	2	51	"2;1;3"	"id_010"	135	3
