"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"
1	0	2	0	1	0	"2;3;1"	"id_003"	135	3
2	8.246	2	6	1	6	"2;3;1"	"id_003"	135	3
3	8.626	2	1	1	7	"2;3;1"	"id_003"	135	3
4	4.102	2	3	1	10	"2;3;1"	"id_003"	135	3
5	3.396	2	2	1	12	"2;3;1"	"id_003"	135	3
6	2.22	2	4	1	16	"2;3;1"	"id_003"	135	3
7	2.598	2	-1	1	15	"2;3;1"	"id_003"	135	3
8	2.274	3	4	1	19	"2;3;1"	"id_003"	135	3
9	3.315	3	0	1	19	"2;3;1"	"id_003"	135	3
10	8.618	1	3	1	22	"2;3;1"	"id_003"	135	3
11	3.647	1	5	1	27	"2;3;1"	"id_003"	135	3
12	4.117	1	4	1	31	"2;3;1"	"id_003"	135	3
13	2.931	1	4	1	35	"2;3;1"	"id_003"	135	3
14	2.152	1	2	1	37	"2;3;1"	"id_003"	135	3
15	4.611	2	2	1	39	"2;3;1"	"id_003"	135	3
16	2.613	2	5	1	44	"2;3;1"	"id_003"	135	3
17	7.09	2	-1	1	43	"2;3;1"	"id_003"	135	3
18	1.438	3	3	1	46	"2;3;1"	"id_003"	135	3
19	3.467	3	2	1	48	"2;3;1"	"id_003"	135	3
20	2.276	1	3	1	51	"2;3;1"	"id_003"	135	3
0	-261.476	0	0	2	0	"2;3;1"	"id_003"	135	3
1	294.04	1	1	2	1	"1;2;3"	"id_003"	135	3
2	3.13	1	4	2	5	"1;2;3"	"id_003"	135	3
3	3.844	2	0	2	5	"1;2;3"	"id_003"	135	3
4	1.518	2	-2	2	3	"1;2;3"	"id_003"	135	3
5	1.756	3	6	2	9	"1;2;3"	"id_003"	135	3
6	3.379	3	4	2	13	"1;2;3"	"id_003"	135	3
7	1.849	3	1	2	14	"1;2;3"	"id_003"	135	3
8	1.989	1	3	2	17	"1;2;3"	"id_003"	135	3
9	2.459	2	-1	2	16	"1;2;3"	"id_003"	135	3
10	1.849	1	1	2	17	"1;2;3"	"id_003"	135	3
11	1.865	1	6	2	23	"1;2;3"	"id_003"	135	3
12	2.194	1	6	2	29	"1;2;3"	"id_003"	135	3
13	2.603	1	1	2	30	"1;2;3"	"id_003"	135	3
14	3.257	3	-1	2	29	"1;2;3"	"id_003"	135	3
15	2.12	3	8	2	37	"1;2;3"	"id_003"	135	3
16	2.312	3	-2	2	35	"1;2;3"	"id_003"	135	3
17	2.022	2	4	2	39	"1;2;3"	"id_003"	135	3
18	1.764	2	2	2	41	"1;2;3"	"id_003"	135	3
19	2.973	2	6	2	47	"1;2;3"	"id_003"	135	3
20	2.641	2	3	2	50	"1;2;3"	"id_003"	135	3
21	1.954	2	2	2	52	"1;2;3"	"id_003"	135	3
22	1.223	2	1	2	53	"1;2;3"	"id_003"	135	3
23	2.61	1	0	2	53	"1;2;3"	"id_003"	135	3
24	1.166	1	-1	2	52	"1;2;3"	"id_003"	135	3
25	2.253	1	-1	2	51	"1;2;3"	"id_003"	135	3
26	1.375	1	2	2	53	"1;2;3"	"id_003"	135	3
27	1.542	1	5	2	58	"1;2;3"	"id_003"	135	3
28	2.327	1	0	2	58	"1;2;3"	"id_003"	135	3
29	3.226	2	3	2	61	"1;2;3"	"id_003"	135	3
30	2.672	2	1	2	62	"1;2;3"	"id_003"	135	3
31	2.097	3	10	2	72	"1;2;3"	"id_003"	135	3
32	3.822	3	-1	2	71	"1;2;3"	"id_003"	135	3
33	1.481	2	3	2	74	"1;2;3"	"id_003"	135	3
34	1.337	2	0	2	74	"1;2;3"	"id_003"	135	3
35	1.558	2	6	2	80	"1;2;3"	"id_003"	135	3
36	2.227	2	3	2	83	"1;2;3"	"id_003"	135	3
37	4.687	2	-2	2	81	"1;2;3"	"id_003"	135	3
38	1.396	1	-1	2	80	"1;2;3"	"id_003"	135	3
39	2.674	2	-2	2	78	"1;2;3"	"id_003"	135	3
40	2.446	3	0	2	78	"1;2;3"	"id_003"	135	3
41	1.504	3	3	2	81	"1;2;3"	"id_003"	135	3
42	2.24	3	-6	2	75	"1;2;3"	"id_003"	135	3
43	1.455	2	3	2	78	"1;2;3"	"id_003"	135	3
44	1.108	2	1	2	79	"1;2;3"	"id_003"	135	3
45	1.052	2	2	2	81	"1;2;3"	"id_003"	135	3
46	1.891	2	6	2	87	"1;2;3"	"id_003"	135	3
47	3.15	2	2	2	89	"1;2;3"	"id_003"	135	3
48	2.899	2	-1	2	88	"1;2;3"	"id_003"	135	3
49	5.359	2	4	2	92	"1;2;3"	"id_003"	135	3
50	6.216	2	2	2	94	"1;2;3"	"id_003"	135	3
0	-410.511	0	0	3	0	"1;2;3"	"id_003"	135	3
1	426.306	1	3	3	3	"2;1;3"	"id_003"	135	3
2	1.372	1	-4	3	-1	"2;1;3"	"id_003"	135	3
3	1.556	1	2	3	1	"2;1;3"	"id_003"	135	3
4	1.342	1	1	3	2	"2;1;3"	"id_003"	135	3
5	1.25	1	3	3	5	"2;1;3"	"id_003"	135	3
6	1.442	1	4	3	9	"2;1;3"	"id_003"	135	3
7	1.177	1	4	3	13	"2;1;3"	"id_003"	135	3
8	1.506	1	1	3	14	"2;1;3"	"id_003"	135	3
9	1.081	1	9	3	23	"2;1;3"	"id_003"	135	3
10	1.795	1	9	3	32	"2;1;3"	"id_003"	135	3
11	1.498	1	-1	3	31	"2;1;3"	"id_003"	135	3
12	2.129	2	1	3	32	"2;1;3"	"id_003"	135	3
13	1.078	2	0	3	32	"2;1;3"	"id_003"	135	3
14	1.548	2	4	3	36	"2;1;3"	"id_003"	135	3
15	1.18	2	1	3	37	"2;1;3"	"id_003"	135	3
16	1.006	2	4	3	41	"2;1;3"	"id_003"	135	3
17	1.555	2	3	3	44	"2;1;3"	"id_003"	135	3
18	1.253	2	4	3	48	"2;1;3"	"id_003"	135	3
19	1.446	2	2	3	50	"2;1;3"	"id_003"	135	3
20	1.929	2	9	3	59	"2;1;3"	"id_003"	135	3
21	2.163	2	5	3	64	"2;1;3"	"id_003"	135	3
22	2.355	2	4	3	68	"2;1;3"	"id_003"	135	3
23	1.38	2	8	3	76	"2;1;3"	"id_003"	135	3
24	1.747	2	3	3	79	"2;1;3"	"id_003"	135	3
25	1.322	2	6	3	85	"2;1;3"	"id_003"	135	3
26	1.344	2	2	3	87	"2;1;3"	"id_003"	135	3
27	3.718	2	2	3	89	"2;1;3"	"id_003"	135	3
28	1.918	2	-2	3	87	"2;1;3"	"id_003"	135	3
29	1.59	3	-2	3	85	"2;1;3"	"id_003"	135	3
30	2.13	3	4	3	89	"2;1;3"	"id_003"	135	3
31	1.806	3	9	3	98	"2;1;3"	"id_003"	135	3
32	1.692	3	6	3	104	"2;1;3"	"id_003"	135	3
33	1.419	3	-3	3	101	"2;1;3"	"id_003"	135	3
34	2.162	1	1	3	102	"2;1;3"	"id_003"	135	3
35	1.64	1	6	3	108	"2;1;3"	"id_003"	135	3
