"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"
1	0	1	3	1	3	"1;2;3"	"id_053"	0	1
2	0.408	2	-1	1	2	"1;2;3"	"id_053"	0	1
3	1.464	1	0	1	2	"1;2;3"	"id_053"	0	1
4	1.142	1	5	1	7	"1;2;3"	"id_053"	0	1
5	0.777	2	1	1	8	"1;2;3"	"id_053"	0	1
6	0.77	3	4	1	12	"1;2;3"	"id_053"	0	1
7	0.995	3	5	1	17	"1;2;3"	"id_053"	0	1
8	0.85	2	3	1	20	"1;2;3"	"id_053"	0	1
9	0.721	3	6	1	26	"1;2;3"	"id_053"	0	1
10	0.716	3	6	1	32	"1;2;3"	"id_053"	0	1
11	0.952	2	3	1	35	"1;2;3"	"id_053"	0	1
12	1.209	2	2	1	37	"1;2;3"	"id_053"	0	1
13	0.767	3	4	1	41	"1;2;3"	"id_053"	0	1
14	1.078	1	-1	1	40	"1;2;3"	"id_053"	0	1
15	0.581	2	3	1	43	"1;2;3"	"id_053"	0	1
16	0.712	3	1	1	44	"1;2;3"	"id_053"	0	1
17	0.757	3	7	1	51	"1;2;3"	"id_053"	0	1
18	0.613	2	5	1	56	"1;2;3"	"id_053"	0	1
19	0.722	2	1	1	57	"1;2;3"	"id_053"	0	1
20	0.471	2	1	1	58	"1;2;3"	"id_053"	0	1
0	-605.525	0	0	2	0	"1;2;3"	"id_053"	0	1
1	610.36	1	4	2	4	"2;3;1"	"id_053"	0	1
2	0.419	2	12	2	16	"2;3;1"	"id_053"	0	1
3	0.78	2	4	2	20	"2;3;1"	"id_053"	0	1
4	0.723	3	1	2	21	"2;3;1"	"id_053"	0	1
5	1.071	2	3	2	24	"2;3;1"	"id_053"	0	1
6	0.804	2	3	2	27	"2;3;1"	"id_053"	0	1
7	1.025	2	0	2	27	"2;3;1"	"id_053"	0	1
8	0.765	3	6	2	33	"2;3;1"	"id_053"	0	1
9	1.075	2	-1	2	32	"2;3;1"	"id_053"	0	1
10	0.898	3	5	2	37	"2;3;1"	"id_053"	0	1
11	0.74	3	5	2	42	"2;3;1"	"id_053"	0	1
12	0.924	2	3	2	45	"2;3;1"	"id_053"	0	1
13	0.835	2	2	2	47	"2;3;1"	"id_053"	0	1
14	0.784	3	2	2	49	"2;3;1"	"id_053"	0	1
15	1.546	1	1	2	50	"2;3;1"	"id_053"	0	1
16	0.908	2	-3	2	47	"2;3;1"	"id_053"	0	1
17	0.853	3	0	2	47	"2;3;1"	"id_053"	0	1
18	0.84	1	1	2	48	"2;3;1"	"id_053"	0	1
19	0.877	2	4	2	52	"2;3;1"	"id_053"	0	1
20	0.772	2	0	2	52	"2;3;1"	"id_053"	0	1
21	0.874	3	4	2	56	"2;3;1"	"id_053"	0	1
22	1.027	3	2	2	58	"2;3;1"	"id_053"	0	1
23	0.877	2	1	2	59	"2;3;1"	"id_053"	0	1
24	0.832	3	0	2	59	"2;3;1"	"id_053"	0	1
25	0.923	2	-7	2	52	"2;3;1"	"id_053"	0	1
26	0.787	3	5	2	57	"2;3;1"	"id_053"	0	1
27	0.944	1	3	2	60	"2;3;1"	"id_053"	0	1
28	0.771	2	-9	2	51	"2;3;1"	"id_053"	0	1
29	0.986	3	4	2	55	"2;3;1"	"id_053"	0	1
30	0.772	3	4	2	59	"2;3;1"	"id_053"	0	1
31	0.715	3	4	2	63	"2;3;1"	"id_053"	0	1
32	0.816	3	5	2	68	"2;3;1"	"id_053"	0	1
33	0.812	1	5	2	73	"2;3;1"	"id_053"	0	1
34	1.344	1	0	2	73	"2;3;1"	"id_053"	0	1
35	0.888	2	2	2	75	"2;3;1"	"id_053"	0	1
36	0.853	3	4	2	79	"2;3;1"	"id_053"	0	1
37	0.882	3	5	2	84	"2;3;1"	"id_053"	0	1
38	0.89	3	1	2	85	"2;3;1"	"id_053"	0	1
39	0.83	2	0	2	85	"2;3;1"	"id_053"	0	1
40	0.877	3	-1	2	84	"2;3;1"	"id_053"	0	1
41	0.873	2	-1	2	83	"2;3;1"	"id_053"	0	1
