"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"
1	0	1	4	1	4	"3;2;1"	"id_040"	0	1
2	1.169	2	1	1	5	"3;2;1"	"id_040"	0	1
3	0.98	3	5	1	10	"3;2;1"	"id_040"	0	1
4	1.469	1	5	1	15	"3;2;1"	"id_040"	0	1
5	1.139	2	6	1	21	"3;2;1"	"id_040"	0	1
6	1.58	3	2	1	23	"3;2;1"	"id_040"	0	1
7	1.482	1	4	1	27	"3;2;1"	"id_040"	0	1
8	0.95	2	2	1	29	"3;2;1"	"id_040"	0	1
9	1.397	3	-1	1	28	"3;2;1"	"id_040"	0	1
10	1.895	1	1	1	29	"3;2;1"	"id_040"	0	1
11	0.864	2	4	1	33	"3;2;1"	"id_040"	0	1
12	0.85	3	5	1	38	"3;2;1"	"id_040"	0	1
13	2.694	2	1	1	39	"3;2;1"	"id_040"	0	1
14	1.477	1	4	1	43	"3;2;1"	"id_040"	0	1
15	2.253	3	3	1	46	"3;2;1"	"id_040"	0	1
16	1.148	2	4	1	50	"3;2;1"	"id_040"	0	1
17	1.064	1	5	1	55	"3;2;1"	"id_040"	0	1
18	1.191	2	2	1	57	"3;2;1"	"id_040"	0	1
19	0.65	3	3	1	60	"3;2;1"	"id_040"	0	1
20	0.806	2	5	1	65	"3;2;1"	"id_040"	0	1
0	-158.288	0	0	2	0	"3;2;1"	"id_040"	0	1
1	174.364	1	-2	2	-2	"2;3;1"	"id_040"	0	1
2	1.035	2	6	2	4	"2;3;1"	"id_040"	0	1
3	1.084	3	2	2	6	"2;3;1"	"id_040"	0	1
4	1.478	1	0	2	6	"2;3;1"	"id_040"	0	1
5	1.187	2	10	2	16	"2;3;1"	"id_040"	0	1
6	0.889	3	0	2	16	"2;3;1"	"id_040"	0	1
7	0.999	2	-2	2	14	"2;3;1"	"id_040"	0	1
8	1.022	2	7	2	21	"2;3;1"	"id_040"	0	1
9	0.92	2	3	2	24	"2;3;1"	"id_040"	0	1
10	0.915	2	3	2	27	"2;3;1"	"id_040"	0	1
11	1.176	2	-1	2	26	"2;3;1"	"id_040"	0	1
12	1.033	2	0	2	26	"2;3;1"	"id_040"	0	1
13	0.966	2	3	2	29	"2;3;1"	"id_040"	0	1
14	1.226	1	5	2	34	"2;3;1"	"id_040"	0	1
15	1.045	3	4	2	38	"2;3;1"	"id_040"	0	1
16	1.105	1	2	2	40	"2;3;1"	"id_040"	0	1
17	1.034	3	0	2	40	"2;3;1"	"id_040"	0	1
18	0.998	2	5	2	45	"2;3;1"	"id_040"	0	1
19	1.056	1	4	2	49	"2;3;1"	"id_040"	0	1
20	1.062	2	-2	2	47	"2;3;1"	"id_040"	0	1
21	0.97	1	6	2	53	"2;3;1"	"id_040"	0	1
22	1.006	3	1	2	54	"2;3;1"	"id_040"	0	1
23	1	1	4	2	58	"2;3;1"	"id_040"	0	1
24	1.09	1	1	2	59	"2;3;1"	"id_040"	0	1
25	1.259	1	2	2	61	"2;3;1"	"id_040"	0	1
26	1.085	1	1	2	62	"2;3;1"	"id_040"	0	1
27	1.021	1	3	2	65	"2;3;1"	"id_040"	0	1
28	1.078	2	4	2	69	"2;3;1"	"id_040"	0	1
29	0.95	3	8	2	77	"2;3;1"	"id_040"	0	1
30	0.998	2	-6	2	71	"2;3;1"	"id_040"	0	1
31	1.018	1	-1	2	70	"2;3;1"	"id_040"	0	1
32	1.32	3	2	2	72	"2;3;1"	"id_040"	0	1
33	1.032	2	2	2	74	"2;3;1"	"id_040"	0	1
34	1.073	1	1	2	75	"2;3;1"	"id_040"	0	1
35	1.957	3	6	2	81	"2;3;1"	"id_040"	0	1
36	1.06	2	-4	2	77	"2;3;1"	"id_040"	0	1
37	1.171	1	-3	2	74	"2;3;1"	"id_040"	0	1
38	40.455	2	-1	2	73	"2;3;1"	"id_040"	0	1
39	1.851	3	5	2	78	"2;3;1"	"id_040"	0	1
40	2.287	2	3	2	81	"2;3;1"	"id_040"	0	1
41	2.393	1	3	2	84	"2;3;1"	"id_040"	0	1
42	1.274	3	1	2	85	"2;3;1"	"id_040"	0	1
43	1.118	2	-5	2	80	"2;3;1"	"id_040"	0	1
44	1.299	1	-2	2	78	"2;3;1"	"id_040"	0	1
45	1.898	3	4	2	82	"2;3;1"	"id_040"	0	1
46	1.524	2	0	2	82	"2;3;1"	"id_040"	0	1
47	1.273	3	0	2	82	"2;3;1"	"id_040"	0	1
48	1.213	1	3	2	85	"2;3;1"	"id_040"	0	1
49	1.272	2	5	2	90	"2;3;1"	"id_040"	0	1
50	1.16	1	4	2	94	"2;3;1"	"id_040"	0	1
0	-272.699	0	0	3	0	"2;3;1"	"id_040"	0	1
1	298.234	1	0	3	0	"1;2;3"	"id_040"	0	1
2	2.487	2	4	3	4	"1;2;3"	"id_040"	0	1
3	1.395	3	6	3	10	"1;2;3"	"id_040"	0	1
4	1.862	1	3	3	13	"1;2;3"	"id_040"	0	1
5	1.169	2	-2	3	11	"1;2;3"	"id_040"	0	1
6	1.075	3	-1	3	10	"1;2;3"	"id_040"	0	1
7	1.922	1	1	3	11	"1;2;3"	"id_040"	0	1
8	1.006	2	5	3	16	"1;2;3"	"id_040"	0	1
9	1.093	3	-3	3	13	"1;2;3"	"id_040"	0	1
10	1.525	2	3	3	16	"1;2;3"	"id_040"	0	1
11	0.865	1	2	3	18	"1;2;3"	"id_040"	0	1
12	1.453	3	0	3	18	"1;2;3"	"id_040"	0	1
13	0.984	2	4	3	22	"1;2;3"	"id_040"	0	1
14	0.822	1	-1	3	21	"1;2;3"	"id_040"	0	1
15	1.106	3	-3	3	18	"1;2;3"	"id_040"	0	1
16	0.828	2	0	3	18	"1;2;3"	"id_040"	0	1
17	0.932	1	4	3	22	"1;2;3"	"id_040"	0	1
18	1.307	3	8	3	30	"1;2;3"	"id_040"	0	1
19	0.89	2	1	3	31	"1;2;3"	"id_040"	0	1
20	1.265	1	3	3	34	"1;2;3"	"id_040"	0	1
21	1.986	3	9	3	43	"1;2;3"	"id_040"	0	1
22	1.423	2	8	3	51	"1;2;3"	"id_040"	0	1
23	1.081	1	4	3	55	"1;2;3"	"id_040"	0	1
24	1.729	3	-8	3	47	"1;2;3"	"id_040"	0	1
25	1.198	2	3	3	50	"1;2;3"	"id_040"	0	1
26	0.816	1	3	3	53	"1;2;3"	"id_040"	0	1
27	1.691	3	4	3	57	"1;2;3"	"id_040"	0	1
28	0.952	2	-1	3	56	"1;2;3"	"id_040"	0	1
29	1.021	1	6	3	62	"1;2;3"	"id_040"	0	1
30	1.462	3	9	3	71	"1;2;3"	"id_040"	0	1
31	1.162	2	3	3	74	"1;2;3"	"id_040"	0	1
32	0.853	1	5	3	79	"1;2;3"	"id_040"	0	1
33	1.952	1	1	3	80	"1;2;3"	"id_040"	0	1
34	0.947	1	1	3	81	"1;2;3"	"id_040"	0	1
35	0.822	1	7	3	88	"1;2;3"	"id_040"	0	1
36	0.983	1	3	3	91	"1;2;3"	"id_040"	0	1
37	0.909	1	3	3	94	"1;2;3"	"id_040"	0	1
38	0.916	1	1	3	95	"1;2;3"	"id_040"	0	1
39	0.954	1	1	3	96	"1;2;3"	"id_040"	0	1
40	0.899	1	4	3	100	"1;2;3"	"id_040"	0	1
41	1.023	1	3	3	103	"1;2;3"	"id_040"	0	1
42	0.96	1	8	3	111	"1;2;3"	"id_040"	0	1
43	0.781	1	6	3	117	"1;2;3"	"id_040"	0	1
44	0.825	1	0	3	117	"1;2;3"	"id_040"	0	1
45	1.132	1	4	3	121	"1;2;3"	"id_040"	0	1
46	120.35	2	6	3	127	"1;2;3"	"id_040"	0	1
47	1.135	1	5	3	132	"1;2;3"	"id_040"	0	1
48	0.917	2	5	3	137	"1;2;3"	"id_040"	0	1
49	1.036	1	2	3	139	"1;2;3"	"id_040"	0	1
50	1.015	2	1	3	140	"1;2;3"	"id_040"	0	1
0	-475.15	0	0	4	0	"1;2;3"	"id_040"	0	1
1	480.323	1	5	4	5	"1;3;2"	"id_040"	0	1
2	1.853	2	-3	4	2	"1;3;2"	"id_040"	0	1
3	0.917	3	-1	4	1	"1;3;2"	"id_040"	0	1
4	1.273	1	4	4	5	"1;3;2"	"id_040"	0	1
5	0.94	1	7	4	12	"1;3;2"	"id_040"	0	1
6	0.919	1	4	4	16	"1;3;2"	"id_040"	0	1
7	0.904	1	-1	4	15	"1;3;2"	"id_040"	0	1
8	1.286	2	-2	4	13	"1;3;2"	"id_040"	0	1
9	0.729	3	6	4	19	"1;3;2"	"id_040"	0	1
10	1.006	1	5	4	24	"1;3;2"	"id_040"	0	1
11	0.904	2	0	4	24	"1;3;2"	"id_040"	0	1
12	0.973	3	1	4	25	"1;3;2"	"id_040"	0	1
13	0.854	1	2	4	27	"1;3;2"	"id_040"	0	1
14	0.863	2	-1	4	26	"1;3;2"	"id_040"	0	1
15	0.772	3	7	4	33	"1;3;2"	"id_040"	0	1
16	0.966	1	1	4	34	"1;3;2"	"id_040"	0	1
17	0.744	1	1	4	35	"1;3;2"	"id_040"	0	1
18	0.791	1	1	4	36	"1;3;2"	"id_040"	0	1
19	0.656	1	6	4	42	"1;3;2"	"id_040"	0	1
20	0.808	1	3	4	45	"1;3;2"	"id_040"	0	1
21	0.734	1	-2	4	43	"1;3;2"	"id_040"	0	1
22	0.666	1	4	4	47	"1;3;2"	"id_040"	0	1
23	0.738	1	-1	4	46	"1;3;2"	"id_040"	0	1
24	0.764	1	2	4	48	"1;3;2"	"id_040"	0	1
25	0.759	1	6	4	54	"1;3;2"	"id_040"	0	1
26	0.649	1	5	4	59	"1;3;2"	"id_040"	0	1
27	0.695	1	6	4	65	"1;3;2"	"id_040"	0	1
28	0.668	1	3	4	68	"1;3;2"	"id_040"	0	1
29	0.758	1	0	4	68	"1;3;2"	"id_040"	0	1
30	0.606	1	4	4	72	"1;3;2"	"id_040"	0	1
31	0.703	1	1	4	73	"1;3;2"	"id_040"	0	1
32	0.675	1	2	4	75	"1;3;2"	"id_040"	0	1
33	0.653	1	6	4	81	"1;3;2"	"id_040"	0	1
34	0.804	1	2	4	83	"1;3;2"	"id_040"	0	1
35	0.711	1	2	4	85	"1;3;2"	"id_040"	0	1
36	0.709	1	5	4	90	"1;3;2"	"id_040"	0	1
37	0.661	1	1	4	91	"1;3;2"	"id_040"	0	1
38	0.633	1	0	4	91	"1;3;2"	"id_040"	0	1
39	0.551	1	-2	4	89	"1;3;2"	"id_040"	0	1
40	1.361	1	2	4	91	"1;3;2"	"id_040"	0	1
41	0.659	1	4	4	95	"1;3;2"	"id_040"	0	1
42	0.724	1	5	4	100	"1;3;2"	"id_040"	0	1
43	0.651	1	4	4	104	"1;3;2"	"id_040"	0	1
44	0.772	1	5	4	109	"1;3;2"	"id_040"	0	1
45	0.628	1	3	4	112	"1;3;2"	"id_040"	0	1
46	0.636	1	2	4	114	"1;3;2"	"id_040"	0	1
47	0.738	1	6	4	120	"1;3;2"	"id_040"	0	1
48	0.747	1	8	4	128	"1;3;2"	"id_040"	0	1
49	0.708	1	2	4	130	"1;3;2"	"id_040"	0	1
